n,method,x,F_hat,Phi,F_minus_Phi
50000,RR,0.18999999999999995,0.5693,0.5753454347347954,-0.006045434734795352
50000,RR,0.20000000000000018,0.5728,0.5792597094391031,-0.006459709439103123
50000,RR,0.20999999999999996,0.5764,0.5831661634824423,-0.0067661634824423
50000,RR,0.2200000000000002,0.5808,0.5870644226482147,-0.006264422648214696
50000,RR,0.22999999999999998,0.5856,0.5909541151420059,-0.0053541151420059
50000,RR,0.2400000000000002,0.5892,0.5948348716977959,-0.005634871697795973
50000,RR,0.25,0.5927,0.5987063256829237,-0.006006325682923697
50000,RR,0.26000000000000023,0.5956,0.6025681132017606,-0.006968113201760606
50000,RR,0.27,0.5991,0.6064198731980396,-0.007319873198039617
50000,RR,0.28000000000000025,0.6035,0.6102612475557974,-0.006761247555797323
