estimator,lam,x,ratio_mean,ratio_std,ratio_cv,ratio_min,ratio_max,log_ratio_slope,abs_log_ratio_slope
OBM_RR,2.0,0.56,0.1690194765555171,0.020779564159713094,0.12294183240407634,0.15214974647626678,0.20140397806800484,-0.016423466908658712,0.016423466908658712
OBM_RR,2.0,0.57,0.15076963340786625,0.019795700616190546,0.13129766365245885,0.13560360428378448,0.18368261108742048,-0.026423466908658513,0.026423466908658513
OBM_RR,2.0,0.58,0.13452878319270567,0.019117471303325237,0.14210692202530686,0.1208568395322401,0.1675205323129235,-0.03642346690865849,0.03642346690865849
OBM_RR,2.0,0.59,0.12007168119941396,0.01859301907241761,0.15484932739084822,0.10771377161298853,0.15278054128405813,-0.046423466908658624,0.046423466908658624
OBM_RR,2.0,0.6,0.10719876844580493,0.01812506581564041,0.16907904893332482,0.09600000000000002,0.13933750969372405,-0.056423466908658605,0.056423466908658605
OBM_RR,2.0,0.61,0.0957331972894475,0.017657150301441,0.18444124714705748,0.08556009006083959,0.1270773191695355,-0.06642346690865866,0.06642346690865866
OBM_RR,2.0,0.62,0.08551820621152413,0.017160408495456834,0.20066380313230142,0.07597078714982666,0.11589589251890688,-0.0764234669086585,0.0764234669086585
OBM_RR,2.0,0.63,0.07641480228786533,0.01662336172490844,0.21754112066253722,0.06696924668065082,0.10569831021407057,-0.08642346690865872,0.08642346690865872
OBM_RR,2.0,0.64,0.06829971484237712,0.016044839896972817,0.2349181095997441,0.05868485469228465,0.09639800461683581,-0.09642346690865848,0.09642346690865848
OBM_RR,2.0,0.65,0.061063588155301184,0.015429367308005154,0.25267704984456707,0.051112371718843176,0.08791602510283529,-0.10642346690865871,0.10642346690865871
OBM_RR,2.0,0.66,0.05460938494627112,0.014784269446255582,0.2707276315380859,0.04451701476341329,0.08018036784687203,-0.11642346690865879,0.11642346690865879
OBM_RR,2.0,0.67,0.04885097573456121,0.014117915642309872,0.28899966541142585,0.03877269899247028,0.07312536457989136,-0.1264234669086584,0.1264234669086584
OBM_RR,2.0,0.68,0.04371189215294,0.013438688948385626,0.30743782267228525,0.03376960910676842,0.06669112512871363,-0.13642346690865864,0.13642346690865864
OBM_RR,2.0,0.69,0.03912422490686045,0.012754413225859344,0.32599785059570224,0.02941209997904462,0.06082302900622818,-0.14642346690865857,0.14642346690865857
OBM_RR,2.0,0.7,0.03502764937096424,0.012072063618312071,0.34464384094009654,0.025616868185895862,0.05547126173613899,-0.15642346690865855,0.15642346690865855
OBM_RR,3.0,0.15,19.357353511483343,15.43691329420937,0.7974702370885435,7.284470651377783,44.81774465987236,0.4005770031656508,0.4005770031656508
OBM_RR,3.0,0.16,17.075291972840155,13.326553962692358,0.7804583361672225,6.643516193026541,39.03462378269738,0.39057700316565086,0.39057700316565086
OBM_RR,3.0,0.17,15.065589366561976,11.499615873329445,0.7633034190386738,6.058958779476714,33.99773606236311,0.38057700316565074,0.38057700316565074
OBM_RR,3.0,0.18,13.295395379317473,9.9184735067961,0.7460081647684909,5.525836082093417,29.610790251255093,0.37057700316565073,0.37057700316565073
OBM_RR,3.0,0.19,11.735857740941029,8.550458838889584,0.7285755355623434,5.039622403373189,25.789920178669643,0.36057700316565083,0.36057700316565083
OBM_RR,3.0,0.2,10.361631907603421,7.367211450198216,0.711008798217597,4.596190258137228,22.462081463494876,0.35057700316565094,0.35057700316565094
OBM_RR,3.0,0.21,9.150451268369066,6.3441135378491476,0.6933115484456203,4.19177533516319,19.563655109331435,0.34057700316565076,0.34057700316565076
OBM_RR,3.0,0.22,8.082750363049698,5.459798764857344,0.6754877386559927,3.822944541813581,17.039231286685922,0.3305770031656507,0.3305770031656507
OBM_RR,3.0,0.23,7.141334536034089,4.695725322030666,0.6575417099334514,3.486566860390497,14.84055005154394,0.3205770031656508,0.3205770031656508
OBM_RR,3.0,0.24,6.3110902702582194,4.035804829806628,0.6394782291145238,3.179786768815237,12.925578749815609,0.3105770031656508,0.3105770031656508
OBM_RR,3.0,0.25,5.578731162415075,3.466079797080114,0.6213025320939864,2.9,11.25770847019943,0.3005770031656508,0.3005770031656508
OBM_RR,3.0,0.26,4.932575127765619,2.97444330215435,0.6030203747756655,2.6448314341321377,9.80505418388387,0.2905770031656509,0.2905770031656509
OBM_RR,3.0,0.27,4.362348971758782,2.5503953857969734,0.5846380934464128,2.4121149361977454,8.539845191709384,0.2805770031656509,0.2805770031656509
OBM_RR,3.0,0.28,3.85901694593723,2.184831364011093,0.5661626768214328,2.1998749675846323,7.437894225840378,0.2705770031656509,0.2705770031656509
OBM_RR,3.0,0.29,3.4146303258976167,1.8698578924648859,0.5476018526173398,2.0063098156649164,6.478135056651543,0.26057700316565086,0.26057700316565086
OBM_RR,3.0,0.3,3.022195416907353,1.5986331576834782,0.5289641923020907,1.8151963722123465,5.642219765161565,0.25057700316565107,0.25057700316565107
OBM_RR,3.0,0.31,2.6755577147276832,1.3652280426431016,0.5102592387105557,1.6373910129156948,4.91416798198627,0.24057700316565092,0.24057700316565092
OBM_RR,3.0,0.32,2.369300231001321,1.1645055255015362,0.49149766258596495,1.4770023619590225,4.280061387237989,0.23057700316565077,0.23057700316565077
OBM_RR,3.0,0.33,2.098654239256864,0.9920159278428081,0.47269145592752915,1.3323243867986547,3.7277776310612016,0.22057700316565085,0.22057700316565085
