scenario,lazy_prob,problem_seed,T,T_eff,sigma_true,rr_alpha_1,rr_alpha_2,eig_min,eig_max,noise_target,max_a_norm,max_rho,warn_unstable,warn_assumption,slem,spectral_gap,relaxation_time,eta,b_n,lam,estimator,l2_mean_x1e3,width_mean_x1e3,coverage_pct,diverged,sigma_mean_raw,rel_bias_raw,mse_raw,sigma_mean_used,rel_bias_used,mse_used,negative_rate,clamped_rate
baseline,0.0,929893138,100000,99000,0.9084848316243732,0.2,0.1,0.25,0.6,0.35,0.7969711608066093,0.9611676845272247,False,False,0.16938656991421533,0.8306134300857847,1.203929486062754,0.6,999,2.0,OBM_RR,8.5630556530249,11.585666706862062,87.0,0,0.8790016549388099,-0.032453130376263226,0.0493279184784361,0.8790016549388099,-0.032453130376263226,0.0493279184784361,0.0,0.0
baseline,0.0,191664964,100000,99000,3.6494337442282094,0.2,0.1,0.25,0.6,0.35,0.6170130688482545,0.9783108365748661,False,False,0.24812652875447494,0.7518734712455251,1.3300110168050456,,0,2.0,ORACLE,9.894201438033985,23.7997958121317,94.0,0,3.6494337442282094,0.0,0.0,3.6494337442282094,0.0,0.0,0.0,0.0
baseline,0.0,191664964,100000,99000,3.6494337442282094,0.2,0.1,0.25,0.6,0.35,0.6170130688482545,0.9783108365748661,False,False,0.24812652875447494,0.7518734712455251,1.3300110168050456,0.4,100,0.0,OBM,9.894201438033985,19.704495437842557,90.0,0,2.5026327925882446,-0.31424079241161645,1.3259785372679278,2.5026327925882446,-0.31424079241161645,1.3259785372679278,0.0,0.0
baseline,0.0,191664964,100000,99000,3.6494337442282094,0.2,0.1,0.25,0.6,0.35,0.6170130688482545,0.9783108365748661,False,False,0.24812652875447494,0.7518734712455251,1.3300110168050456,0.4,100,2.0,OBM_RR,9.894201438033985,23.69930297673394,93.0,0,3.622600903922388,-0.0073526037699024535,0.05738364810576103,3.622600903922388,-0.0073526037699024535,0.05738364810576103,0.0,0.0
baseline,0.0,191664964,100000,99000,3.6494337442282094,0.2,0.1,0.25,0.6,0.35,0.6170130688482545,0.9783108365748661,False,False,0.24812652875447494,0.7518734712455251,1.3300110168050456,0.5,316,0.0,OBM,9.894201438033985,22.557358543567158,93.0,0,3.2820380938813583,-0.10067196066455752,0.18329748818693242,3.2820380938813583,-0.10067196066455752,0.18329748818693242,0.0,0.0
baseline,0.0,191664964,100000,99000,3.6494337442282094,0.2,0.1,0.25,0.6,0.35,0.6170130688482545,0.9783108365748661,False,False,0.24812652875447494,0.7518734712455251,1.3300110168050456,0.5,316,2.0,OBM_RR,9.894201438033985,23.71282468669219,94.0,0,3.640424459388464,-0.0024686802038793266,0.24714884869505635,3.640424459388464,-0.0024686802038793266,0.24714884869505635,0.0,0.0
baseline,0.0,191664964,100000,99000,3.6494337442282094,0.2,0.1,0.25,0.6,0.35,0.6170130688482545,0.9783108365748661,False,False,0.24812652875447494,0.7518734712455251,1.3300110168050456,0.6,999,0.0,OBM,9.894201438033985,23.294749920990103,94.0,0,3.509491121828499,-0.038346393497631734,0.2018708902114873,3.509491121828499,-0.038346393497631734,0.2018708902114873,0.0,0.0
baseline,0.0,191664964,100000,99000,3.6494337442282094,0.2,0.1,0.25,0.6,0.35,0.6170130688482545,0.9783108365748661,False,False,0.24812652875447494,0.7518734712455251,1.3300110168050456,0.6,999,2.0,OBM_RR,9.894201438033985,23.242530462373132,93.0,0,3.5294898167290825,-0.03286644885355851,0.7046244107049433,3.5294898167290825,-0.03286644885355851,0.7046244107049433,0.0,0.0
baseline,0.0,967196436,100000,99000,1.5225872863170185,0.2,0.1,0.25,0.6,0.35,0.71009375439602,0.9744737283784642,False,False,0.1911803388699634,0.8088196611300366,1.2363695494281843,,0,2.0,ORACLE,10.217829676900582,15.372750864546118,94.0,0,1.5225872863170185,0.0,0.0,1.5225872863170185,0.0,0.0,0.0,0.0
baseline,0.0,967196436,100000,99000,1.5225872863170185,0.2,0.1,0.25,0.6,0.35,0.71009375439602,0.9744737283784642,False,False,0.1911803388699634,0.8088196611300366,1.2363695494281843,0.4,100,0.0,OBM,10.217829676900582,12.627294452381328,85.0,0,1.0279210500803726,-0.3248853058751019,0.24722893960312653,1.0279210500803726,-0.3248853058751019,0.24722893960312653,0.0,0.0
baseline,0.0,967196436,100000,99000,1.5225872863170185,0.2,0.1,0.25,0.6,0.35,0.71009375439602,0.9744737283784642,False,False,0.1911803388699634,0.8088196611300366,1.2363695494281843,0.4,100,2.0,OBM_RR,10.217829676900582,15.29861052205599,94.0,0,1.5100999551791394,-0.008201389339119333,0.013187162136657233,1.5100999551791394,-0.008201389339119333,0.013187162136657233,0.0,0.0
baseline,0.0,967196436,100000,99000,1.5225872863170185,0.2,0.1,0.25,0.6,0.35,0.71009375439602,0.9744737283784642,False,False,0.1911803388699634,0.8088196611300366,1.2363695494281843,0.5,316,0.0,OBM,10.217829676900582,14.57291323264682,92.0,0,1.370198560319623,-0.1000853792533682,0.03378055405705111,1.370198560319623,-0.1000853792533682,0.03378055405705111,0.0,0.0
baseline,0.0,967196436,100000,99000,1.5225872863170185,0.2,0.1,0.25,0.6,0.35,0.71009375439602,0.9744737283784642,False,False,0.1911803388699634,0.8088196611300366,1.2363695494281843,0.5,316,2.0,OBM_RR,10.217829676900582,15.368994392264526,92.0,0,1.5295287975026601,0.004559023478011878,0.045947074071899345,1.5295287975026601,0.004559023478011878,0.045947074071899345,0.0,0.0
