estimator,lam,eta,label,n_T,T_min,T_max,kappa_hat,rate_hat,C_hat_mse,r2_log_mse,theory_rate,rate_minus_theory,mean_abs_log_b_error,max_abs_log_b_error
OBM_RR,3.0,0.675,OBM-LW(lambda=3),5,10000,1000000,-0.32594060771650474,0.32594060771650474,203.8310060335558,0.9978943883180381,0.32499999999999996,0.0009406077165047821,0.03304296266834683,0.039372642250456565
OBM_RR,3.0,0.7,OBM-LW(lambda=3),5,10000,1000000,-0.29519276778643116,0.29519276778643116,194.5536573296033,0.9989263336555463,0.30000000000000004,-0.004807232213568879,0.0069734567962783465,0.008736329256222843
OBM_RR,3.0,0.725,OBM-LW(lambda=3),5,10000,1000000,-0.2626847302071879,0.2626847302071879,179.12685019441008,0.9984572742740564,0.275,-0.012315269792812111,0.04714269987692232,0.05681638198348153
OBM_RR,3.0,0.75,OBM-LW(lambda=3),5,10000,1000000,-0.23651778435876727,0.23651778435876727,160.20289237225197,0.9958026886032243,0.25,-0.013482215641232725,0.022018816818475676,0.02623308781406487
OBM_RR,4.0,0.15,OBM-LW(lambda=4),5,10000,1000000,0.1936605837306549,-0.1936605837306549,1.3939065317706834,0.9977710789622919,0.6,-0.7936605837306548,0.10697599982175825,0.22788685663767297
OBM_RR,4.0,0.175,OBM-LW(lambda=4),5,10000,1000000,0.18235866980837548,-0.18235866980837548,1.3726241209526189,0.9142045788632819,0.7,-0.8823586698083754,0.021794417750468132,0.06467958531004617
OBM_RR,4.0,0.2,OBM-LW(lambda=4),5,10000,1000000,0.2099886434536243,-0.2099886434536243,0.7691827570900254,0.8613501507763437,0.8,-1.0099886434536243,0.032082485229694306,0.055051910490644874
OBM_RR,4.0,0.225,OBM-LW(lambda=4),5,10000,1000000,0.2437507256109332,-0.2437507256109332,0.3582581405122436,0.9015143892976261,0.775,-1.0187507256109332,0.014266631697787113,0.02545887215676478
OBM_RR,4.0,0.25,OBM-LW(lambda=4),5,10000,1000000,0.2539685097035102,-0.2539685097035102,0.1944144439653305,0.8124655353122927,0.75,-1.0039685097035103,0.018445702653383373,0.04262992197541174
OBM_RR,4.0,0.275,OBM-LW(lambda=4),5,10000,1000000,0.32428199361665844,-0.32428199361665844,0.050163146797280275,0.775389086560211,0.725,-1.0492819936166584,0.038065356767348776,0.05540977621898399
OBM_RR,4.0,0.3,OBM-LW(lambda=4),5,10000,1000000,0.2565258912279351,-0.2565258912279351,0.05595748083804978,0.545681611325644,0.7,-0.9565258912279351,0.012083859687952956,0.023201163678818436
OBM_RR,4.0,0.325,OBM-LW(lambda=4),5,10000,1000000,0.20402984893992918,-0.20402984893992918,0.0562954811822052,0.279878812899955,0.675,-0.8790298489399292,0.04211418240208278,0.05922413249507562
