estimator,lam,T,b,mse_selected,bias,var,sigma_true,eta,target_b,eta_actual,log_b_error
OBM,0.0,10000,65,2.4729454655767547,-1.505669747444295,0.206075807046994,5.530043287007115,0.45,63.09573444801933,0.4532283391607138,0.02973410250635483
OBM,0.0,10000,77,1.9147387565270395,-1.2867017631919966,0.2593534570064842,5.530043287007115,0.475,79.43282347242814,0.47162268129312046,0.031106254835002824
OBM,0.0,10000,101,1.3411528077570374,-0.9881354423516768,0.3650453597919867,5.530043287007115,0.5,100.0,0.5010803434456607,0.009950330853168092
OBM,0.0,10000,131,1.079489458996098,-0.7657875748295275,0.4934700742947208,5.530043287007115,0.525,125.89254117941675,0.529317823913941,0.03976862791365542
OBM,0.0,10000,156,1.0217126424183216,-0.6499908503419336,0.5997243071460455,5.530043287007115,0.55,158.48931924611142,0.5482811495886154,0.015831197337363923
OBM,0.0,10000,203,1.0710889801914865,-0.5195021131103408,0.8018747636350733,5.530043287007115,0.575,199.52623149688787,0.5768740094783031,0.017260265155482617
OBM,0.0,10000,242,1.1807324481343389,-0.4566329953176087,0.9730296137330514,5.530043287007115,0.6,251.18864315095797,0.5959538414951078,0.03726649702902315
OBM,0.0,10000,315,1.449170710940048,-0.3903175893221409,1.2979044774703594,5.530043287007115,0.625,316.22776601683796,0.6245776384474001,0.003890093659481259
OBM,0.0,10000,409,1.8371213062966776,-0.351515752884449,1.714987137718856,5.530043287007115,0.65,398.1071705534973,0.6529308270018355,0.02699391425828277
OBM,0.0,10000,488,2.1636061927061747,-0.3371615877596099,2.051637954741212,5.530043287007115,0.675,501.18723362727246,0.6721049555006776,0.026664345230776473
OBM,0.0,10000,634,2.754167603697368,-0.3485018389627559,2.634909830128719,5.530043287007115,0.7,630.957344480193,0.7005223144704331,0.004810694053898292
OBM,0.0,10000,825,3.4939693022209624,-0.4023445521095974,3.334867219625045,5.530043287007115,0.725,794.3282347242813,0.7291134871374811,0.03788661665194867
OBM,0.0,10000,982,4.088416195296752,-0.4680899267824179,3.87253512834854,5.530043287007115,0.75,1000.0,0.7480278719467374,0.01816397062767118
OBM,0.0,30000,5,24.501016717432226,-4.949791175136848,0.0005845270754949,5.530043287007115,0.15,4.694271328870265,0.15612040964921,0.06309501333745664
OBM,0.0,30000,6,23.469546846772552,-4.844451310674681,0.0008390444786517,5.530043287007115,0.175,6.074299753156561,0.17380615938497024,0.012307246384696045
OBM,0.0,30000,8,21.5596518684556,-4.64307796701432,0.0014800940935091,5.530043287007115,0.2,7.860030855966229,0.2017122020181897,0.01765100955097741
OBM,0.0,30000,10,19.83504976103021,-4.453398798475286,0.0022908117789038,5.530043287007115,0.225,10.170733675867188,0.22335781032193994,0.016929255650920155
OBM,0.0,30000,13,17.552088570068342,-4.189067322328747,0.0038067113252412,5.530043287007115,0.25,13.160740129524925,0.24880794799393632,0.012288807699536324
OBM,0.0,30000,18,14.42015616774944,-3.7964589160927376,0.0070617509618635,5.530043287007115,0.275,17.029752845447483,0.28037491809721055,0.05540977621898399
OBM,0.0,30000,22,12.400345996032229,-3.519958990273208,0.0102432388594276,5.530043287007115,0.3,22.036183309053403,0.29984059051495643,0.0016433448349718553
